timestamp,aqi,pm2_5,pm10,no2,o3,co,so2
2025-01-23 21:31:15,5,103.81,136.93,19.88,124.45,700.95,70.57
2025-01-23 21:31:45,5,103.81,136.93,19.88,124.45,700.95,70.57
2025-01-23 21:32:15,5,103.81,136.93,19.88,124.45,700.95,70.57
2025-01-23 21:32:45,5,103.81,136.93,19.88,124.45,700.95,70.57
2025-01-23 21:33:15,5,103.81,136.93,19.88,124.45,700.95,70.57
2025-01-23 21:33:45,5,103.81,136.93,19.88,124.45,700.95,70.57
2025-01-23 21:34:15,5,103.81,136.93,19.88,124.45,700.95,70.57
2025-01-23 21:34:45,5,103.81,136.93,19.88,124.45,700.95,70.57
2025-01-23 21:35:15,5,103.81,136.93,19.88,124.45,700.95,70.57
2025-01-23 21:35:45,5,103.81,136.93,19.88,124.45,700.95,70.57
2025-01-23 21:36:16,5,103.81,136.93,19.88,124.45,700.95,70.57
2025-01-23 21:36:46,5,103.81,136.93,19.88,124.45,700.95,70.57
2025-01-23 21:37:16,5,103.81,136.93,19.88,124.45,700.95,70.57
2025-01-23 21:37:46,5,103.81,136.93,19.88,124.45,700.95,70.57
2025-01-23 21:38:16,5,103.81,136.93,19.88,124.45,700.95,70.57
2025-01-23 21:38:46,5,103.81,136.93,19.88,124.45,700.95,70.57
2025-01-23 21:39:16,5,103.81,136.93,19.88,124.45,700.95,70.57
2025-01-23 21:39:46,5,103.81,136.93,19.88,124.45,700.95,70.57
2025-01-23 21:40:16,5,103.81,136.93,19.88,124.45,700.95,70.57
2025-01-23 21:40:47,5,103.81,136.93,19.88,124.45,700.95,70.57
2025-01-23 21:41:19,5,103.81,136.93,19.88,124.45,700.95,70.57
2025-01-23 21:41:50,5,103.81,136.93,19.88,124.45,700.95,70.57
2025-01-23 21:42:20,5,103.81,136.93,19.88,124.45,700.95,70.57
2025-01-23 21:42:50,5,103.81,136.93,19.88,124.45,700.95,70.57
2025-01-23 21:43:20,5,103.81,136.93,19.88,124.45,700.95,70.57
2025-01-23 21:43:50,5,103.81,136.93,19.88,124.45,700.95,70.57
2025-01-23 21:45:18,5,103.81,136.93,19.88,124.45,700.95,70.57
2025-01-23 21:45:48,5,103.81,136.93,19.88,124.45,700.95,70.57
2025-01-23 21:46:18,5,103.81,136.93,19.88,124.45,700.95,70.57
2025-01-23 21:46:48,5,103.81,136.93,19.88,124.45,700.95,70.57
2025-01-23 21:47:18,5,103.81,136.93,19.88,124.45,700.95,70.57
2025-01-23 21:47:48,5,103.81,136.93,19.88,124.45,700.95,70.57
